ra,dec
127.16957781896025,25.39141650820596
127.14187840225983,25.551415301348356
127.16466047936866,25.48308330116913
127.11787898409419,25.5075212957078
127.11789029032728,25.4764101974026
127.12711022397127,25.51474596177148
127.08219888426702,25.47417309071355
127.16404416340315,25.43974998364998
127.23234850231518,25.467510812569
127.2151014286772,25.42862920582806
127.1874410344935,25.52808104839233
127.27418332449119,25.4580403918482
127.21945772266392,25.533071944219746
127.15789086044414,25.47974995377577
127.28032369797766,25.445257822226505
127.1578917472607,25.450861066254188
127.09076975255998,25.5497329282395
127.19973465095214,25.466411735813352
127.16343021822092,25.521972199574407
127.14681385147124,25.47641592746761
127.13203877571424,25.49919148303947
127.05147606962183,25.42359788047008
127.09948038082183,25.375848175576497
127.07973243880747,25.48139396073697
127.08831717281709,25.53250953857409
127.06370486210228,25.514161939057857
127.08464228759969,25.50250769993098
127.07972714458191,25.48917173027453
127.19603415468004,25.43696821007182
127.1264892811919,25.533079132439248
127.08466148059239,25.47250772927904
127.16465868919396,25.41308332451499
127.13451057876229,25.455858629506
127.25761859472053,25.518607589648536
127.18436157909221,25.521970450672296
127.19479349284939,25.399746312596307
127.2126778709825,25.515852247237454
127.1431070565437,25.570304305536737
127.04099838276669,25.4441452183274
127.1640453800179,25.499194422303564
127.22615683470835,25.396402616609308
127.27107749655698,25.425820554036463
127.12463385845645,25.56030085331311
127.15481286139114,25.49641651012985
127.16219917223424,25.56308326073089
127.17204664486935,25.49474962793016
127.110511924402,25.461407831984417
127.25445128090672,25.40305420512731
127.17388799493101,25.4447494899907
127.12775988867152,25.393635074336967
127.1671254991103,25.55474984260565
127.17080761205872,25.38974977351829
127.0354362847338,25.46802942179401
127.16343039747592,25.533638855980357
127.09453131836975,25.429734793664657
127.23852615667973,25.505285474457057
